"자치구별(1)","자치구별(2)","연면적별(1)",시점,합계,합계,합계,합계,합계
"자치구별(1)","자치구별(2)","연면적별(1)",시점,단독주택,아파트,연립주택,다세대주택,비거주용건물내
"합계","종로구","계",2017,12920,14507,5451,11978,931
"합계","종로구","계",2018,12699,14530,5428,12140,932
"합계","종로구","계",2019,12421,15290,5459,12349,921
"합계","종로구","계",2020,12259,15688,5460,12540,912
"합계","종로구","계",2021,11987,15775,5490,12725,908
"합계","중구","계",2017,6308,23874,1948,6491,891
"합계","중구","계",2018,6209,24417,1944,6719,888
"합계","중구","계",2019,6035,25823,1940,7095,861
"합계","중구","계",2020,5967,26102,1944,7352,869
"합계","중구","계",2021,5865,26327,1896,7370,861
"합계","용산구","계",2017,14993,35648,3985,15988,742
"합계","용산구","계",2018,14792,35728,3996,16416,748
"합계","용산구","계",2019,14487,36181,3959,17107,729
"합계","용산구","계",2020,14064,37676,3969,18124,709
"합계","용산구","계",2021,13716,38631,3911,18785,696
"합계","성동구","계",2017,11044,62985,2055,9470,1096
"합계","성동구","계",2018,10944,63976,2032,9785,1093
"합계","성동구","계",2019,10782,67058,2021,10095,1081
"합계","성동구","계",2020,10525,67584,1990,10158,1072
"합계","성동구","계",2021,9916,68090,1976,10031,1020
"합계","광진구","계",2017,16297,30301,4249,31970,1499
"합계","광진구","계",2018,16002,30425,4152,33565,1494
"합계","광진구","계",2019,15786,32089,4068,35697,1492
"합계","광진구","계",2020,15332,32135,4054,36858,1453
"합계","광진구","계",2021,15096,32571,4119,38226,1420
"합계","동대문구","계",2017,19954,58161,3251,14866,1659
"합계","동대문구","계",2018,19484,60386,3181,16093,1658
"합계","동대문구","계",2019,18990,64081,3280,16834,1636
"합계","동대문구","계",2020,17120,65033,3274,16511,1582
"합계","동대문구","계",2021,16388,66512,3287,16569,1531
"합계","중랑구","계",2017,19669,51031,4578,26949,1513
"합계","중랑구","계",2018,19208,51475,4451,29040,1517
"합계","중랑구","계",2019,18891,52162,4440,30958,1546
"합계","중랑구","계",2020,18560,55499,4466,32303,1536
"합계","중랑구","계",2021,17995,56651,4423,33916,1503
"합계","성북구","계",2017,25457,71571,6321,25902,1515
"합계","성북구","계",2018,24207,71754,6097,26446,1490
"합계","성북구","계",2019,23156,77457,6044,28315,1465
"합계","성북구","계",2020,22520,79206,6262,29213,1420
"합계","성북구","계",2021,21661,80967,6230,29900,1380
"합계","강북구","계",2017,18369,33458,4882,36743,1074
"합계","강북구","계",2018,18185,33282,4881,37671,1078
"합계","강북구","계",2019,18017,34590,4748,38645,1070
"합계","강북구","계",2020,17557,34733,4789,39331,1042
"합계","강북구","계",2021,17261,34875,4834,39859,1011
