# DL_YM,DL_GD_LCLS_NM,DL_GD_LCLS_CD,DL_GD_MCLS_NM,DL_GD_MCLS_CD,DL_GD_SCLS_NM,DL_GD_SCLS_CD,GD_LCLS_NM,GD_LCLS_CD,GD_MCLS_NM,GD_MCLS_CD,GD_SCLS_NM,GD_SCLS_CD,CTPV_NM,CTPV_CD,CTGG_NM,CTGG_CD,EMD_NM,EMD_CD,INVC_CONT
201904,디지털/가전,1003,생활가전,10031006,다리미,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,세탁기 및 가전용품,520103,서울특별시,11,종로구,11110,구기동,1111018200,10
201904,디지털/가전,1003,생활가전,10031006,다리미,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,세탁기 및 가전용품,520103,서울특별시,11,금천구,11545,가산동,1154510100,209
201904,디지털/가전,1003,생활가전,10031006,다리미,1.0031E+11,가정용품 및 가전제품,52,가전기기제품,5201,세탁기 및 가전용품,520103,서울특별시,11,종로구,11110,부암동,1111018400,10
201904,식품,1006,음료,10061009,주스/과즙음료,1.0061E+11,식음료품 및 담배,50,음료,5008,비알콜성 음료 및 기타 음료,500803,서울특별시,11,종로구,11110,부암동,1111018400,28
201904,디지털/가전,1003,음향가전,10031008,스피커,1.0031E+11,가정용품 및 가전제품,52,멀티미디어 제품,5202,영상기기 및 액세서리,520202,서울특별시,11,종로구,11110,구기동,1111018200,5
201904,식품,1006,음료,10061009,주스/과즙음료,1.0061E+11,식음료품 및 담배,50,음료,5008,비알콜성 음료 및 기타 음료,500803,서울특별시,11,금천구,11545,가산동,1154510100,314
201904,식품,1006,음료,10061009,주스/과즙음료,1.0061E+11,식음료품 및 담배,50,음료,5008,비알콜성 음료 및 기타 음료,500803,서울특별시,11,종로구,11110,공평동,1111012700,14
201904,식품,1006,음료,10061009,주스/과즙음료,1.0061E+11,식음료품 및 담배,50,음료,5008,비알콜성 음료 및 기타 음료,500803,서울특별시,11,종로구,11110,묘동,1111015100,21
201904,식품,1006,농산물,10061006,채소,1.0061E+11,식음료품 및 담배,50,농산물,5001,채소,500103,서울특별시,11,종로구,11110,부암동,1111018400,55
201904,식품,1006,농산물,10061006,채소,1.0061E+11,식음료품 및 담배,50,농산물,5001,채소,500103,서울특별시,11,종로구,11110,묘동,1111015100,6
