"동별(1)","동별(2)",시점,계,계,계,계,계,계,계
"동별(1)","동별(2)",시점,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상가구
"합계","종로구",2017,23638,15697,11268,8636,2351,601,181
"합계","종로구",2018,25326,15957,11241,8286,2228,573,162
"합계","종로구",2019,24671,16208,11154,7828,2143,505,143
"합계","종로구",2020,25983,16281,10882,7679,2027,440,122
"합계","종로구",2021,27308,16320,10690,7367,1826,381,92
"합계","중구",2017,20164,13623,9498,6696,1660,445,122
"합계","중구",2018,20803,14101,9601,6463,1591,433,110
"합계","중구",2019,22078,14578,9540,6292,1533,373,102
"합계","중구",2020,22818,14978,9301,6134,1425,352,85
"합계","중구",2021,24544,15118,9141,5654,1282,298,79
"합계","용산구",2017,33076,24058,17316,12585,3154,724,189
"합계","용산구",2018,34240,24574,17717,12098,3019,681,171
"합계","용산구",2019,35148,25164,17439,11736,2907,612,171
"합계","용산구",2020,36881,25941,17655,11733,2812,565,127
"합계","용산구",2021,39270,26405,17161,10962,2593,490,108
"합계","성동구",2017,39067,30728,25452,19855,4437,1115,303
"합계","성동구",2018,40706,32135,26002,19548,4273,1035,264
"합계","성동구",2019,41488,32125,25634,18379,4014,877,253
"합계","성동구",2020,42585,32368,25023,17568,3655,781,206
"합계","성동구",2021,44946,32553,24443,16649,3298,700,167
"합계","광진구",2017,54866,34309,28746,23244,5191,1151,339
"합계","광진구",2018,56337,35093,28596,22354,4947,1079,329
"합계","광진구",2019,58714,35678,28054,21454,4711,1006,288
"합계","광진구",2020,62301,36380,27174,20794,4354,846,241
"합계","광진구",2021,66140,36736,26533,19591,3971,801,190
"합계","동대문구",2017,54030,34391,27589,21820,5617,1458,389
"합계","동대문구",2018,55593,35628,27612,21139,5341,1321,340
"합계","동대문구",2019,58152,36060,27436,20168,4988,1204,341
"합계","동대문구",2020,60925,36819,27120,19528,4653,1062,266
"합계","동대문구",2021,65290,37357,26574,18548,4290,957,230
"합계","중랑구",2017,47543,42102,34301,26685,6603,1402,399
"합계","중랑구",2018,49207,42934,34055,25381,6159,1353,355
"합계","중랑구",2019,52196,44057,33160,24003,5766,1251,343
"합계","중랑구",2020,56605,45576,32612,23295,5344,1107,293
"합계","중랑구",2021,60487,46555,32001,21994,5001,976,246
"합계","성북구",2017,54243,41856,36766,30370,7383,1839,516
