"자치구별(1)","자치구별(2)","시점",성별(1),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)","자치구별(2)","시점",성별(1),20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
"합계","종로구","2017",계,507,2992,3627,2552,1796,1518,1723,1540,1660,1471,1151,1065,998,608,430
"합계","종로구","2018",계,798,3741,4007,2587,1880,1454,1734,1578,1683,1508,1113,1111,1014,674,444
"합계","종로구","2019",계,507,3280,3903,2647,1872,1405,1704,1521,1718,1572,1201,1120,1047,704,470
"합계","종로구","2020",계,398,3331,4111,2923,1981,1516,1743,1612,1744,1727,1337,1156,1108,749,547
"합계","종로구","2021",계,328,3211,4588,3205,2015,1690,1620,1783,1757,1864,1546,1160,1133,811,597
"합계","중구","2017",계,499,2097,2669,2169,1686,1400,1632,1367,1510,1376,1097,882,912,519,349
"합계","중구","2018",계,585,2137,2809,2301,1786,1349,1589,1355,1514,1443,1120,922,898,607,388
"합계","중구","2019",계,489,2251,3054,2561,1920,1462,1554,1467,1534,1567,1180,1031,896,652,460
"합계","중구","2020",계,435,2250,3232,2698,1975,1466,1527,1541,1539,1629,1372,1119,897,687,451
"합계","중구","2021",계,268,2232,3792,3081,2187,1607,1486,1609,1540,1728,1567,1168,962,762,555
"합계","용산구","2017",계,265,2658,4614,4620,3503,2638,2742,2041,2195,1984,1535,1384,1340,940,617
"합계","용산구","2018",계,307,2620,5056,4813,3764,2644,2720,2117,2132,2094,1520,1417,1320,1022,694
"합계","용산구","2019",계,252,2636,5349,4985,3959,2701,2729,2158,2104,2112,1596,1460,1321,1075,711
"합계","용산구","2020",계,457,2663,5646,5550,4110,2903,2629,2245,2129,2154,1723,1450,1334,1106,782
"합계","용산구","2021",계,140,2620,6396,6225,4436,3106,2624,2451,2166,2364,1925,1466,1335,1117,899
"합계","성동구","2017",계,708,4467,6284,4603,3560,2876,2877,2529,2728,2309,1767,1519,1476,880,484
"합계","성동구","2018",계,758,4756,6529,4752,3642,2802,2967,2656,2744,2583,1831,1654,1540,981,511
"합계","성동구","2019",계,587,4709,6878,4907,3655,2752,2990,2670,2715,2713,1942,1715,1557,1082,616
"합계","성동구","2020",계,753,4850,7052,5008,3709,2790,2864,2707,2641,2850,2170,1748,1600,1167,676
"합계","성동구","2021",계,534,4719,7909,5542,3828,3011,2773,2822,2721,3078,2464,1854,1666,1252,773
"합계","광진구","2017",계,802,6280,10335,7976,5421,3936,3814,3276,3405,2881,2099,1703,1499,901,538
"합계","광진구","2018",계,736,6523,11198,7919,5555,3718,3738,3220,3490,3136,2174,1857,1525,978,570
"합계","광진구","2019",계,576,6710,11939,8398,5649,3767,3711,3423,3544,3392,2286,1959,1621,1060,679
"합계","광진구","2020",계,562,7283,13249,8991,5692,3968,3600,3534,3576,3646,2650,2080,1688,1084,698
